"DIRECTORIO","SECUENCIA_ENCUESTA","SECUENCIA_P","ORDEN","P8692S3A1","LLAVEHOG","FEX_C"
6004086,1,1,1,1,"60040861",1828.92306953893
6004086,2,1,2,2,"60040861",1828.92306953893
6004087,1,1,1,1,"60040871",1827.92412418188
6004087,2,1,2,2,"60040871",1827.92412418188
6004100,1,1,1,1,"60041001",3293.21512920437
6004100,2,1,2,2,"60041001",3293.21512920437
6004103,1,1,1,1,"60041031",1828.92306953893
6004103,2,1,2,2,"60041031",1828.92306953893
6004104,1,1,1,1,"60041041",1962.89410698426
6004104,2,1,2,2,"60041041",1962.89410698426
6004113,1,1,1,1,"60041131",1827.92412418188
6004113,2,1,2,2,"60041131",1827.92412418188
6004122,1,1,1,1,"60041221",3101.09394009238
6004122,2,1,2,2,"60041221",3101.09394009238
6004124,1,1,1,1,"60041241",2294.88255334887
6004124,2,1,2,2,"60041241",2294.88255334887
6004124,3,1,3,3,"60041241",2294.88255334887
6004127,1,1,1,1,"60041271",2059.19343649156
6004127,2,1,2,2,"60041271",2059.19343649156
6004130,1,1,1,1,"60041301",1828.92306953893
6004130,2,1,2,2,"60041301",1828.92306953893
6004143,1,1,1,1,"60041431",1828.92306953893
6004143,2,1,2,2,"60041431",1828.92306953893
6004144,1,1,1,1,"60041441",1827.92412418188
6004144,2,1,2,2,"60041441",1827.92412418188
6004190,1,1,1,1,"60041901",1145.86586702519
6004190,2,1,2,2,"60041901",1145.86586702519
6004201,1,1,1,1,"60042011",177.66088773595
6004201,2,1,2,2,"60042011",177.66088773595
6004203,1,1,1,1,"60042031",1265.84754766145
6004203,2,1,2,2,"60042031",1265.84754766145
6004224,1,1,1,1,"60042241",2089.87375773064
6004224,2,1,2,2,"60042241",2089.87375773064
6004234,1,1,1,1,"60042341",3344.91937077597
6004234,2,1,2,2,"60042341",3344.91937077597
6004247,1,1,1,1,"60042471",1710.56781423732
6004247,2,1,2,2,"60042471",1710.56781423732
6004268,1,1,1,1,"60042681",1621.53799610202
6004268,2,1,2,2,"60042681",1621.53799610202
6004299,1,1,1,1,"60042991",1031.08802963381
